drug,r2_score,mse,samples,mean_ic50,std_ic50,min_ic50,max_ic50
PLX-4720,0.20654309729234266,1.6406559039112263,2804,4.009232895149786,1.3423067550986028,-2.787767,9.03713
AZD4547,0.14729744025040814,1.9381186413337075,2756,2.5102337343976777,1.4291037813790801,-5.825862,7.988395
Afatinib,0.10125584845092683,2.8946307563221274,2798,1.8880272487491068,1.8560813852623628,-7.069592,6.318374
AZD7762,0.08054583938058835,1.9884754803714453,2812,-0.23246554054054053,1.5065238465175959,-6.64599,6.314794
Olaparib,0.07052269271605194,1.3022840503106856,2794,3.7856317372942017,1.1678921776560927,-1.342457,9.031948
Pictilisib,0.04267130604957792,1.7920586949409871,2755,1.096745341923775,1.3368930368592835,-3.419698,6.610125
SN-38,0.03661014154287856,4.26464178271839,2807,-3.9712311553259707,2.0092756042722484,-10.577744,4.14668
Selumetinib,0.029309069258703357,4.1381548544262,3452,2.7874009745075323,1.9194879129928997,-4.34229,8.657213
Gemcitabine,-0.009365545946671272,7.11050802819934,2739,-2.1921507327491785,2.7347367507950597,-7.3733,7.716931
Avagacestat,-0.023328842020786444,1.1598478060739765,2795,4.348607778533095,1.0447111543200562,-1.039022,8.804872
